card_id	review_th	delta_t	rating	i	r_history	t_history	y	stability	p
360.0	1211.0	5.0	3.0	3.0	4,2	0,3	1.0	1.6406347751617432	0.7253530325267327
368.0	1212.0	6.0	1.0	3.0	3,4	0,1	0.0	1.6406346559524536	0.6802355188880557
232.0	1216.0	5.0	3.0	3.0	4,3	0,3	1.0	1.6406346559524536	0.7253530156034884
178.0	1251.0	1.0	1.0	2.0	3	0	0.0	1.6406346559524536	0.9377992567137875
141.0	1252.0	1.0	3.0	3.0	1,1	0,3	1.0	1.6406346559524536	0.9377992567137875
180.0	1253.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
185.0	1254.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
51.0	1256.0	8.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.5982449944021319
134.0	1258.0	4.0	4.0	2.0	4	0	1.0	1.6406346559524536	0.7734629883854378
149.0	1259.0	1.0	3.0	3.0	3,1	0,3	1.0	1.6406346559524536	0.9377992567137875
5.0	1260.0	7.0	4.0	3.0	4,2	0,3	1.0	1.6406347751617432	0.6379243848403557
124.0	1262.0	4.0	3.0	3.0	3,4	0,1	1.0	1.6406346559524536	0.7734629883854378
125.0	1263.0	5.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.7253530156034884
129.0	1264.0	5.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.7253530156034884
144.0	1267.0	4.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.7734629883854378
143.0	1268.0	4.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.7734629883854378
101.0	1270.0	5.0	3.0	3.0	3,3	0,1	1.0	1.6406346559524536	0.7253530156034884
52.0	1271.0	4.0	3.0	4.0	1,3,3	0,1,3	1.0	1.6406346559524536	0.7734629883854378
128.0	1272.0	5.0	4.0	2.0	4	0	1.0	1.6406346559524536	0.7253530156034884
87.0	1273.0	8.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.5982449944021319
32.0	1274.0	6.0	3.0	3.0	4,3	0,3	1.0	1.6406346559524536	0.6802355188880557
468.0	1275.0	2.0	4.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
470.0	1276.0	2.0	4.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
417.0	1297.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
327.0	1299.0	6.0	4.0	3.0	3,3	0,1	1.0	1.6406346559524536	0.6802355188880557
402.0	1301.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
377.0	1303.0	5.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.7253530156034884
297.0	1305.0	8.0	4.0	2.0	4	0	1.0	1.6406346559524536	0.5982449944021319
305.0	1307.0	8.0	4.0	2.0	4	0	1.0	1.6406346559524536	0.5982449944021319
295.0	1309.0	5.0	2.0	3.0	3,2	0,3	1.0	1.6406347751617432	0.7253530325267327
400.0	1311.0	2.0	3.0	3.0	3,3	0,2	1.0	1.6406346559524536	0.8794674458929322
316.0	1313.0	6.0	3.0	3.0	3,4	0,1	1.0	1.6406346559524536	0.6802355188880557
77.0	1315.0	4.0	3.0	4.0	1,1,3	0,4,2	1.0	1.6406347751617432	0.773463002821998
225.0	1316.0	6.0	3.0	3.0	3,3	0,3	1.0	1.6406346559524536	0.6802355188880557
85.0	1317.0	7.0	4.0	3.0	4,3	0,3	1.0	1.6406346559524536	0.6379243640035362
281.0	1318.0	6.0	2.0	3.0	1,3	0,1	1.0	1.6406346559524536	0.6802355188880557
283.0	1319.0	6.0	3.0	3.0	1,3	0,1	1.0	1.6406346559524536	0.6802355188880557
76.0	1320.0	6.0	3.0	4.0	3,3,3	0,1,3	1.0	1.6406346559524536	0.6802355188880557
282.0	1321.0	6.0	3.0	3.0	3,3	0,1	1.0	1.6406346559524536	0.6802355188880557
182.0	1322.0	7.0	2.0	3.0	3,3	0,2	1.0	1.6406346559524536	0.6379243640035362
226.0	1323.0	6.0	3.0	3.0	4,3	0,3	1.0	1.6406346559524536	0.6802355188880557
234.0	1324.0	9.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.5610337110830632
279.0	1325.0	6.0	3.0	3.0	3,3	0,1	1.0	1.6406346559524536	0.6802355188880557
462.0	1326.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
461.0	1327.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
454.0	1328.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
452.0	1329.0	3.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.824763917062365
455.0	1330.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
434.0	1331.0	3.0	4.0	2.0	4	0	1.0	1.6406346559524536	0.824763917062365
441.0	1332.0	3.0	4.0	2.0	4	0	1.0	1.6406346559524536	0.824763917062365
189.0	1333.0	6.0	3.0	4.0	3,3,3	0,1,3	1.0	1.6406346559524536	0.6802355188880557
502.0	1334.0	1.0	2.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
505.0	1335.0	1.0	4.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
500.0	1337.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
509.0	1339.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
513.0	1341.0	1.0	2.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
514.0	1343.0	1.0	3.0	2.0	1	0	1.0	1.6406346559524536	0.9377992567137875
504.0	1345.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
503.0	1347.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
508.0	1349.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
516.0	1350.0	1.0	4.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
515.0	1351.0	1.0	4.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
518.0	1352.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
519.0	1353.0	1.0	4.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
520.0	1354.0	1.0	4.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
521.0	1355.0	1.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.9377992567137875
506.0	1357.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
489.0	1393.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
477.0	1395.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
490.0	1397.0	2.0	2.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
484.0	1399.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
510.0	1403.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
499.0	1405.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
507.0	1407.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
494.0	1409.0	2.0	3.0	2.0	3	0	1.0	1.6406346559524536	0.8794674458929322
445.0	1427.0	2.0	3.0	3.0	3,3	0,2	1.0	1.6406346559524536	0.8794674458929322
442.0	1429.0	2.0	3.0	3.0	3,3	0,2	1.0	1.6406346559524536	0.8794674458929322
448.0	1431.0	4.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.7734629883854378
443.0	1433.0	4.0	3.0	2.0	4	0	1.0	1.6406346559524536	0.7734629883854378
212.0	1435.0	5.0	3.0	4.0	3,3,3	0,1,4	1.0	1.6406347751617432	0.7253530325267327
440.0	1437.0	4.0	4.0	2.0	4	0	1.0	1.6406346559524536	0.7734629883854378
184.0	1441.0	7.0	3.0	4.0	3,3,4	0,1,3	1.0	1.6406346559524536	0.6379243640035362
