card_id	review_th	delta_t	rating	i	r_history	t_history	y	stability	p
416.0	2650.0	1.0	1.0	5.0	1,1,1,1	0,3,3,11	0.0	1.3194535970687866	0.923253322662952
517.0	2651.0	1.0	4.0	3.0	1,1	0,4	1.0	1.3194535970687866	0.923253322662952
322.0	2652.0	1.0	4.0	4.0	1,1,1	0,3,11	1.0	1.3194535970687866	0.923253322662952
575.0	2653.0	1.0	1.0	7.0	1,1,1,1,1,1	0,5,1,1,1,1	0.0	1.3194535970687866	0.923253322662952
330.0	2654.0	1.0	4.0	10.0	1,1,1,1,4,1,1,4,1	0,1,5,1,1,4,1,1,3	1.0	1.3194535970687866	0.923253322662952
576.0	2655.0	1.0	4.0	6.0	1,1,4,1,3	0,3,1,4,1	1.0	1.3194535970687866	0.923253322662952
505.0	2656.0	1.0	4.0	3.0	1,1	0,5	1.0	1.3194535970687866	0.923253322662952
298.0	2659.0	1.0	1.0	4.0	3,1,1	0,2,14	0.0	1.3194535970687866	0.923253322662952
574.0	2660.0	1.0	4.0	7.0	1,1,4,1,1,1	0,3,1,3,1,1	1.0	1.3194535970687866	0.923253322662952
579.0	2661.0	1.0	4.0	8.0	1,1,1,1,1,1,1	0,3,2,1,1,1,1	1.0	1.3194535970687866	0.923253322662952
504.0	2662.0	1.0	4.0	4.0	1,1,1	0,4,1	1.0	1.3194535970687866	0.923253322662952
502.0	2663.0	1.0	4.0	3.0	1,1	0,5	1.0	1.3194535970687866	0.923253322662952
331.0	2664.0	1.0	4.0	9.0	1,1,1,1,1,1,4,1	0,2,5,1,1,1,1,3	1.0	1.3194535970687866	0.923253322662952
309.0	2665.0	1.0	1.0	4.0	1,1,1	0,3,11	0.0	1.3194535970687866	0.923253322662952
362.0	2666.0	1.0	1.0	4.0	1,4,1	0,4,12	0.0	1.3194535970687866	0.923253322662952
497.0	2667.0	1.0	1.0	4.0	1,1,1	0,4,1	0.0	1.3194535970687866	0.923253322662952
495.0	2668.0	1.0	4.0	4.0	1,1,1	0,4,1	1.0	1.3194535970687866	0.923253322662952
302.0	2669.0	1.0	4.0	8.0	1,1,1,4,1,1,1	0,2,3,2,5,1,1	1.0	1.3194535970687866	0.923253322662952
306.0	2670.0	1.0	1.0	3.0	1,1	0,14	0.0	1.3194535970687866	0.923253322662952
308.0	2671.0	1.0	1.0	6.0	1,1,1,4,1	0,3,1,2,4	0.0	1.3194535970687866	0.923253322662952
383.0	2672.0	1.0	1.0	4.0	1,1,1	0,3,11	0.0	1.3194535970687866	0.923253322662952
318.0	2673.0	1.0	4.0	4.0	1,4,1	0,4,12	1.0	1.3194535970687866	0.923253322662952
467.0	2674.0	1.0	1.0	5.0	1,4,1,1	0,1,5,1	0.0	1.3194535970687866	0.923253322662952
507.0	2675.0	1.0	1.0	5.0	1,1,1,1	0,1,3,1	0.0	1.3194535970687866	0.923253322662952
309.0	2692.0	1.0	4.0	5.0	1,1,1,1	0,3,11,1	1.0	1.3194535970687866	0.923253322662952
314.0	2693.0	4.0	1.0	7.0	1,1,1,1,1,4	0,5,1,2,1,1	0.0	1.3194535970687866	0.7265801304342913
280.0	2694.0	9.0	4.0	6.0	1,1,3,4,4	0,4,1,1,3	1.0	1.3194535970687866	0.4874026808917294
321.0	2695.0	14.0	4.0	3.0	4,4	0,4	1.0	1.3194535970687866	0.32695825744429574
362.0	2696.0	1.0	4.0	5.0	1,4,1,1	0,4,12,1	1.0	1.3194535970687866	0.923253322662952
477.0	2697.0	3.0	4.0	4.0	1,1,4	0,4,1	1.0	1.3194535970687866	0.7869780834783312
575.0	2698.0	1.0	4.0	8.0	1,1,1,1,1,1,1	0,5,1,1,1,1,1	1.0	1.3194535970687866	0.923253322662952
298.0	2699.0	1.0	4.0	5.0	3,1,1,1	0,2,14,1	1.0	1.3194535970687866	0.923253322662952
573.0	2700.0	3.0	1.0	6.0	1,1,1,1,4	0,5,1,1,1	0.0	1.3194535970687866	0.7869780834783312
580.0	2701.0	4.0	1.0	3.0	1,1	0,1	0.0	1.3194535970687866	0.7265801304342913
567.0	2702.0	5.0	1.0	2.0	1	0	0.0	1.3194535970687866	0.6708175196043404
488.0	2703.0	4.0	1.0	4.0	1,1,4	0,3,1	0.0	1.3194535970687866	0.7265801304342913
448.0	2708.0	8.0	4.0	3.0	1,3	0,3	1.0	1.3194535970687866	0.5279186859419117
425.0	2712.0	14.0	3.0	3.0	1,4	0,4	1.0	1.3194535970687866	0.32695825744429574
452.0	2713.0	8.0	4.0	3.0	4,4	0,3	1.0	1.3194535970687866	0.5279186859419117
301.0	2714.0	5.0	4.0	4.0	1,1,4	0,6,1	1.0	1.3194535970687866	0.6708175196043404
