card_id	review_th	delta_t	rating	i	r_history	t_history	y	p
58.0	1520.0	2.0	2.0	5.0	3,1,4,1	0,9,9,26	1.0	0.6976422667503357
97.0	1521.0	2.0	2.0	4.0	1,4,1	0,9,26	1.0	0.6976420283317566
96.0	1522.0	2.0	2.0	4.0	1,4,1	0,9,26	1.0	0.6976420283317566
61.0	1523.0	28.0	1.0	4.0	3,1,4	0,9,9	0.0	0.8346878886222839
75.0	1524.0	28.0	1.0	4.0	3,1,4	0,9,9	0.0	0.8346878886222839
271.0	1535.0	14.0	2.0	4.0	4,2,2	0,3,9	1.0	0.9998999834060669
308.0	1536.0	11.0	2.0	3.0	3,2	0,2	1.0	0.729002833366394
270.0	1537.0	11.0	2.0	3.0	3,2	0,2	1.0	0.729002833366394
296.0	1540.0	12.0	2.0	4.0	4,2,2	0,9,5	1.0	0.9998999834060669
299.0	1541.0	12.0	2.0	4.0	4,2,2	0,9,5	1.0	0.9998999834060669
304.0	1542.0	17.0	2.0	3.0	4,2	0,9	1.0	0.9998547434806824
279.0	1543.0	17.0	2.0	4.0	4,2,2	0,5,7	1.0	0.9998999834060669
278.0	1544.0	17.0	2.0	4.0	4,2,2	0,5,7	1.0	0.9998999834060669
297.0	1545.0	12.0	2.0	4.0	4,2,2	0,9,5	1.0	0.9998999834060669
295.0	1546.0	17.0	2.0	3.0	4,2	0,9	1.0	0.9998547434806824
300.0	1547.0	12.0	2.0	4.0	4,2,2	0,9,5	1.0	0.9998999834060669
298.0	1548.0	17.0	2.0	3.0	4,2	0,9	1.0	0.9998547434806824
302.0	1549.0	17.0	2.0	3.0	4,2	0,9	1.0	0.9998547434806824
284.0	1550.0	17.0	2.0	4.0	4,2,2	0,5,7	1.0	0.9998999834060669
303.0	1551.0	17.0	2.0	3.0	4,2	0,9	1.0	0.9998547434806824
294.0	1552.0	17.0	2.0	3.0	4,2	0,9	1.0	0.9998547434806824
301.0	1553.0	17.0	2.0	3.0	4,2	0,9	1.0	0.9998547434806824
280.0	1554.0	12.0	2.0	5.0	4,2,2,2	0,3,9,5	1.0	0.9998999834060669
276.0	1555.0	17.0	2.0	4.0	4,2,2	0,5,7	1.0	0.9998999834060669
277.0	1556.0	17.0	2.0	4.0	4,2,2	0,5,7	1.0	0.9998999834060669
293.0	1557.0	17.0	2.0	3.0	3,2	0,9	1.0	0.9333401322364807
275.0	1558.0	17.0	2.0	4.0	4,2,2	0,5,7	1.0	0.9998999834060669
234.0	1559.0	34.0	2.0	3.0	4,2	0,5	1.0	0.9942480325698853
161.0	1560.0	39.0	2.0	3.0	3,3	0,7	1.0	0.8987566828727722
177.0	1561.0	36.0	2.0	4.0	3,2,3	0,7,3	1.0	0.850969672203064
227.0	1562.0	36.0	2.0	3.0	4,3	0,3	1.0	0.9651636481285095
170.0	1563.0	36.0	2.0	4.0	3,2,2	0,7,3	1.0	0.8489180207252502
88.0	1564.0	32.0	2.0	5.0	1,2,2,2	0,7,3,4	1.0	0.751884400844574
166.0	1565.0	36.0	2.0	5.0	3,1,3,3	0,7,1,2	1.0	0.6703002452850342
222.0	1566.0	36.0	2.0	3.0	4,3	0,3	1.0	0.9651636481285095
186.0	1567.0	34.0	2.0	4.0	3,3,2	0,1,4	1.0	0.7218521237373352
181.0	1568.0	36.0	2.0	4.0	3,2,3	0,7,3	1.0	0.850969672203064
175.0	1569.0	36.0	2.0	4.0	3,2,3	0,7,3	1.0	0.850969672203064
176.0	1570.0	36.0	2.0	4.0	3,2,3	0,7,3	1.0	0.850969672203064
167.0	1571.0	39.0	2.0	3.0	3,3	0,7	1.0	0.8987566828727722
164.0	1572.0	39.0	2.0	3.0	3,3	0,7	1.0	0.8987566828727722
79.0	1573.0	36.0	2.0	4.0	1,2,3	0,7,3	1.0	0.7496083378791809
237.0	1574.0	34.0	2.0	3.0	4,2	0,5	1.0	0.9942480325698853
183.0	1575.0	36.0	2.0	4.0	3,3,3	0,1,2	1.0	0.6757568717002869
80.0	1576.0	39.0	2.0	3.0	1,3	0,7	1.0	0.7971128821372986
185.0	1577.0	34.0	2.0	3.0	3,2	0,5	1.0	0.8454472422599792
224.0	1578.0	36.0	2.0	3.0	4,3	0,3	1.0	0.9651636481285095
236.0	1579.0	34.0	2.0	3.0	4,3	0,5	1.0	0.994332492351532
163.0	1580.0	36.0	2.0	4.0	3,2,3	0,7,3	1.0	0.850969672203064
180.0	1581.0	34.0	2.0	5.0	3,1,3,2	0,7,1,4	1.0	0.7118852734565735
232.0	1582.0	36.0	2.0	3.0	4,3	0,3	1.0	0.9651636481285095
174.0	1583.0	36.0	2.0	4.0	3,2,3	0,7,3	1.0	0.850969672203064
43.0	1584.0	39.0	2.0	5.0	3,1,1,3	0,2,13,7	1.0	0.7963806986808777
229.0	1585.0	34.0	2.0	3.0	4,2	0,5	1.0	0.9942480325698853
85.0	1586.0	32.0	2.0	5.0	1,2,2,2	0,7,3,4	1.0	0.751884400844574
220.0	1587.0	34.0	2.0	3.0	4,2	0,5	1.0	0.9942480325698853
231.0	1588.0	34.0	2.0	3.0	4,2	0,5	1.0	0.9942480325698853
178.0	1589.0	39.0	2.0	3.0	1,3	0,7	1.0	0.7971128821372986
84.0	1590.0	39.0	2.0	3.0	3,3	0,7	1.0	0.8987566828727722
162.0	1591.0	39.0	2.0	3.0	3,3	0,7	1.0	0.8987566828727722
221.0	1592.0	34.0	2.0	3.0	4,3	0,5	1.0	0.994332492351532
239.0	1593.0	34.0	2.0	3.0	4,2	0,5	1.0	0.9942480325698853
300.0	1596.0	9.0	2.0	5.0	4,2,2,2	0,9,5,12	1.0	0.9998999834060669
294.0	1597.0	9.0	2.0	4.0	4,2,2	0,9,17	1.0	0.9998999834060669
297.0	1598.0	9.0	2.0	5.0	4,2,2,2	0,9,5,12	1.0	0.9998999834060669
299.0	1599.0	9.0	2.0	5.0	4,2,2,2	0,9,5,12	1.0	0.9998999834060669
304.0	1600.0	9.0	2.0	4.0	4,2,2	0,9,17	1.0	0.9998999834060669
296.0	1601.0	9.0	2.0	5.0	4,2,2,2	0,9,5,12	1.0	0.9998999834060669
280.0	1602.0	9.0	2.0	6.0	4,2,2,2,2	0,3,9,5,12	1.0	0.9998999834060669
303.0	1603.0	9.0	2.0	4.0	4,2,2	0,9,17	1.0	0.9998999834060669
271.0	1604.0	12.0	2.0	5.0	4,2,2,2	0,3,9,14	1.0	0.9998999834060669
302.0	1608.0	11.0	2.0	4.0	4,2,2	0,9,17	1.0	0.9998999834060669
277.0	1609.0	11.0	2.0	5.0	4,2,2,2	0,5,7,17	1.0	0.9998999834060669
293.0	1610.0	11.0	2.0	4.0	3,2,2	0,9,17	1.0	0.9998999834060669
